territorio,resumen_llm
Adeje,"Adeje se sitúa entre los municipios de mayor presión turística de Canarias con una previsión de ligera moderación para 2026. Genera ingresos turísticos elevados, al alza. Predomina el alojamiento hotelero. Cuenta con una amplia presencia en los medios y de carácter neutro."
Agaete,"Aparece de forma intermitente en los medios y de carácter neutro. Agaete registra una presión turística moderada y su proyección apunta a más presión el próximo año. Sus ingresos turísticos son intermedios y se encuentran con tendencia creciente. El modelo turístico se apoya sobre todo en la planta hotelera. Cuenta con una amplia contención en 2026. El máximo de actividad se alcanza en noviembre. Registra una notable cobertura mediática con perspectivas crecientes de cara a 2026, un dato a seguir de cerca."
Agulo,"Agulo se mantiene entre los municipios menos tensionados por el turismo con perspectivas crecientes de cara a 2026. Genera ingresos turísticos modestos, al alza. Predomina el alojamiento hotelero. Cuenta con una amplia presencia en los medios y de carácter neutro."
Agüimes,"Agüimes mantiene un nivel intermedio de presión turística con perspectivas crecientes de cara a 2026. Sus ingresos turísticos son intermedios y se encuentran con tendencia creciente, sobre una población notablemente envejecida. Su oferta de alojamiento es principalmente hotelera. Cuenta con una amplia presencia en los medios y de tono favorable."
Alajeró,Alajeró presenta una presión turística baja y su proyección apunta a más presión el próximo año. Sus ingresos turísticos son reducidos y se encuentran al alza. El modelo turístico se apoya sobre todo en la planta hotelera. Aparece de forma intermitente en los medios y de carácter neutro.
Antigua,Antigua figura entre los puntos más tensionados del archipiélago por el turismo con perspectivas crecientes de cara a 2026. Sus ingresos turísticos son elevados y se encuentran al alza. El modelo turístico se apoya sobre todo en la planta hotelera. Cuenta con una amplia presencia en los medios y de tono favorable.
Arafo,Arafo registra una presión turística moderada y su proyección apunta a más presión el próximo año. Sus ingresos turísticos son reducidos y se encuentran al alza. Su oferta de alojamiento es principalmente hotelera. Aparece de forma intermitente en los medios y de carácter neutro.
Arico,Arico mantiene un nivel intermedio de presión turística con perspectivas crecientes de cara a 2026. Sus ingresos turísticos son elevados y se encuentran al alza. El modelo turístico se apoya sobre todo en la planta hotelera. Cuenta con una amplia presencia en los medios y de carácter neutro.
Arona,Arona figura entre los puntos más tensionados del archipiélago por el turismo con perspectivas crecientes de cara a 2026. Sus ingresos turísticos son elevados y se encuentran al alza. El modelo turístico se apoya sobre todo en la planta hotelera. Cuenta con una amplia presencia en los medios y de tono favorable.
Arrecife,Arrecife figura entre los puntos más tensionados del archipiélago por el turismo y su proyección apunta a una leve contención en 2026. Sus ingresos turísticos son elevados y se encuentran al alza. El modelo turístico se apoya sobre todo en la planta hotelera. Cuenta con una amplia presencia en los medios y de tono favorable.
Artenara,Sus ingresos turísticos son reducidos y se encuentran sin grandes cambios. Artenara figura entre los puntos más tensionados del archipiélago por el turismo con perspectivas crecientes de cara a 2026. Su oferta de alojamiento es principalmente hotelera. Cuenta con una amplia presencia en los medios y de tono favorable.
Arucas,"Aparece de forma intermitente en los medios y de carácter neutro. Arucas mantiene un nivel intermedio de presión turística y su proyección apunta a más presión el próximo año. Sus ingresos turísticos son intermedios y se encuentran en descenso. Su oferta de alojamiento es principalmente hotelera. Su temporada alta llega en diciembre. Registra una notable cobertura mediática con perspectivas crecientes de cara a 2026. Su serie reciente fue marcada como anómala en 2025, un dato a seguir de cerca."
Barlovento,Barlovento se mantiene entre los municipios menos tensionados por el turismo con perspectivas crecientes de cara a 2026. Sus ingresos turísticos son reducidos y se encuentran sin grandes cambios. El modelo turístico se apoya sobre todo en la planta hotelera. Cuenta con una amplia presencia en los medios y de carácter neutro.
Betancuria,Betancuria presenta una presión turística baja y su proyección apunta a más presión el próximo año. Sus ingresos turísticos son reducidos y se encuentran en descenso. El modelo turístico se apoya sobre todo en la planta hotelera. Cuenta con una amplia presencia en los medios y de tono favorable.
Breña Alta,Breña Alta presenta una presión turística baja y su proyección apunta a más presión el próximo año. Sus ingresos turísticos son reducidos y se encuentran sin grandes cambios. El modelo turístico se apoya sobre todo en la planta hotelera. Aparece de forma intermitente en los medios y de carácter neutro.
Breña Baja,Breña Baja figura entre los puntos más tensionados del archipiélago por el turismo y su proyección apunta a más presión el próximo año. Sus ingresos turísticos son intermedios y se encuentran al alza. El modelo turístico se apoya sobre todo en la planta hotelera. Cuenta con una amplia presencia en los medios y de carácter neutro.
Buenavista del Norte,Sus ingresos turísticos son intermedios y se encuentran sin grandes cambios. Buenavista del Norte registra una presión turística moderada y su proyección apunta a más presión el próximo año. Su oferta de alojamiento es principalmente hotelera. Aparece de forma intermitente en los medios y de carácter neutro.
Candelaria,Candelaria mantiene un nivel intermedio de presión turística con perspectivas crecientes de cara a 2026. Sus ingresos turísticos son elevados y se encuentran al alza. El modelo turístico se apoya sobre todo en la planta hotelera. Cuenta con una amplia presencia en los medios y de tono favorable.
El Paso,El Paso presenta una presión turística baja y su proyección apunta a más presión el próximo año. Sus ingresos turísticos son intermedios y se encuentran sin grandes cambios. El modelo turístico se apoya sobre todo en la planta hotelera. Cuenta con una amplia presencia en los medios y de tono crítico.
El Pinar de El Hierro,El Pinar de El Hierro se mantiene entre los municipios menos tensionados por el turismo y su proyección apunta a más presión el próximo año. Sus ingresos turísticos son reducidos y se encuentran al alza. Su oferta de alojamiento es principalmente hotelera. Aparece de forma intermitente en los medios y de carácter neutro.
